tier,source_tools,source_commands,combined_command_template,combination_description,is_valid_combination,category,input_nl,target_command
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,ChatGPT-style,how do i list files and turn the output into a directory tree view?,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,Broken English,list files tree dirs,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,Lazy,ls tree directories,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,Power,use ls to feed paths to the tree command,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,Direct,list files one per line and build a tree of the directories,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,Noob,what is the easiest way to see my files and folders like a tree?,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,ChatGPT-style,please show me my files and organize the directories into a tree,ls -1 | tree -d
T1xT1,ls+tree,ls -1 | tree -d,ls -1 | tree -d,list files one per line and treat the output as a path list for the tree command,True,Broken English,list files tree,ls -1 | tree -d
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Lazy,ls zsh,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Power,list files and launch a new zsh shell,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Direct,show the contents of this folder and then open a terminal,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Noob,can you show me the files in this folder and then start a terminal?,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,ChatGPT-style,what is the command to list files and open a new shell in this folder?,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Broken English,show files then start terminal,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Lazy,ls list zsh,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Power,list files sequentially and spawn an interactive shell,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Direct,display the items in the current directory followed by a shell prompt,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Noob,i want to see the files here and get a command line ready,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,ChatGPT-style,how do i list the files and then start a shell session?,ls -1 && zsh
T1xT1,ls+zsh,ls -1 | zsh,ls -1 && zsh,list files in a directory and then start an interactive shell session,True,Broken English,list files then shell,ls -1 && zsh
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Lazy,ls yq,ls -1 | xargs yq eval config.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Power,list files and pipe to yaml formatter,ls -1 | xargs yq eval settings.json
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Direct,show file list and pretty print as yaml,ls -1 | xargs yq eval secrets.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Noob,how do i make these files look like yaml?,ls -1 | xargs yq eval package.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,ChatGPT-style,what is the command to list files and format them as yaml?,ls -1 | xargs yq eval docker-compose.yml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Broken English,list files then yq,ls -1 | xargs yq eval app.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Lazy,ls pretty yq,ls -1 | xargs yq eval readme.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Power,execute list and pipe to yaml pretty print,ls -1 | xargs yq eval data.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Direct,list all items and convert them to yaml,ls -1 | xargs yq eval config.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Noob,can you make these files look nice with yq?,ls -1 | xargs yq eval schema.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,ChatGPT-style,please provide a command to list files and format them as yaml,ls -1 | xargs yq eval k8s.yaml
T1xT1,ls+yq,ls -1 | yq eval path/to/file.yaml,ls -1 | xargs yq eval,list files one per line and apply YAML pretty-printing to each,True,Broken English,list files and yq format,ls -1 | xargs yq eval database.yaml
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Lazy,pip list,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Power,display installed python packages,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Direct,show me a list of all the packages installed in the current environment,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Noob,what is installed on my python right now,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,ChatGPT-style,please list all packages currently installed in my python environment,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Broken English,show python installed packages,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Lazy,pip list,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Power,list python packages,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Direct,display a list of every package that is currently installed,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Noob,what python things do i have installed,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,ChatGPT-style,what python packages are installed on this machine,pip list
T1xT1,lsof+pip,lsof -p PID | pip list,pip list,list all installed python packages,True,Broken English,list python installed stuff,pip list
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Lazy,lsof openssl pid,lsof -p 1234 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Power,list open file descriptors for process and decode,lsof -p 5678 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Direct,show what files a specific process is using and read them,lsof -p 9012 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Noob,what files is this app using and can i look at them?,lsof -p 3456 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,ChatGPT-style,can you get the list of files open by a process and display the help text?,lsof -p 7890 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Broken English,show open files pid openssl,lsof -p 1111 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Lazy,lsof openssl pid,lsof -p 2222 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Power,open file handles process and show help,lsof -p 3333 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Direct,inspect file usage for a specific process ID and display help,lsof -p 4444 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Noob,how do i see what my app has open and look at the documentation?,lsof -p 5555 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,ChatGPT-style,please provide the file list for process 6666 and show the help info,lsof -p 6666 | openssl help
T1xT1,lsof+openssl,lsof -p PID | openssl help,lsof -p PID | openssl help,open files for a specific process and display their content,True,Broken English,files open pid openssl help,lsof -p 7777 | openssl help
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Lazy,lsof pgrep spotify,pgrep Spotify | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Power,find process id for node then list open files,pgrep node | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Direct,get the pid for the python script and see what files it has open,pgrep python | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Noob,i want to know which files are being used by the docker daemon right now,pgrep Docker | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,ChatGPT-style,what is the command to find the process id for the background mail service and check its open files?,pgrep Mail | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Broken English,show files open by chrome process,pgrep Chrome | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Lazy,lsof -p pgrep nginx,pgrep nginx | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Power,list open descriptors for java process,pgrep java | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Direct,look up the pid for the terminal emulator and list its file handles,pgrep Terminal | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Noob,how do i see what files the minecraft server is accessing?,pgrep minecraft | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,ChatGPT-style,please find the process id for the postgres database and show me what files it has locked,pgrep postgres | xargs lsof -p
T1xT1,lsof+pgrep,lsof -p PID | pgrep process_name,pgrep process_name | xargs lsof -p,find the process ID for a running application and list the files currently opened by it,True,Broken English,files open by system update background,pgrep Software\ Update | xargs lsof -p
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Lazy,pkill -f chrome,pkill -f Chrome
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Power,terminate process using name match,pkill -f Finder
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Direct,force quit all processes named python,pkill -f python
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Noob,how do i make sure all games are fully closed,pkill -f Minecraft
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,ChatGPT-style,what is the command to stop all docker containers immediately?,pkill -f docker
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Broken English,kill everything matching spotify,pkill -f Spotify
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Lazy,pkill -f obs,pkill -f OBS
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Power,terminate app via name matching,pkill -f Xcode
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Direct,stop all processes named java,pkill -f java
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Noob,i need to close out my code editor,pkill -f VSCode
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,ChatGPT-style,please tell me how to stop all terminal instances,pkill -f zsh
T1xT1,lsof+pkill,"lsof -p PID | pkill ""process_name""","pkill -f ""process_name""",identify and terminate a process by name rather than PID,True,Broken English,kill all discord background,pkill -f Discord
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Lazy,ls -1 xargs file,ls -1 | xargs file
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Power,list files one per line and determine their types,ls -1 | xargs file
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Direct,list all files and show their file types,ls -1 | xargs file
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Noob,i need to know what kind of files are in this folder,ls -1 | xargs file
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,ChatGPT-style,can you list the files in the current directory and show me their types?,ls -1 | xargs file
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Broken English,list files and show type,ls -1 | xargs file
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Lazy,ls -1 xargs wc,ls -1 | xargs wc
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Power,pipe one file per line to count characters,ls -1 | xargs wc
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Direct,list files and count characters in each,ls -1 | xargs wc
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Noob,how can i count the characters in all these files,ls -1 | xargs wc
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,ChatGPT-style,please list the files and give me a character count for each,ls -1 | xargs wc
T1xT1,ls+xargs,ls -1 | arguments_source | xargs command,ls -1 | xargs file,list files one per line and determine their file types,True,Broken English,list files and count chars,ls -1 | xargs wc
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Lazy,lsof 1234 rg node,lsof -p 1234 | rg node
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Power,inspect open files for process 5678 and search for python,lsof -p 5678 | rg python
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Direct,show which files are open for process 999 and look for mysql,lsof -p 999 | rg mysql
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Noob,what files is that app actually using right now?,lsof -p 1234 | rg node
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,ChatGPT-style,can you tell me what files are open for process 5678 and check if they contain python?,lsof -p 5678 | rg python
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Broken English,files open for 999 search mysql,lsof -p 999 | rg mysql
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Lazy,lsof 888 rg ruby,lsof -p 888 | rg ruby
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Power,get open file descriptors for pid 9999 and grep for docker,lsof -p 9999 | rg docker
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Direct,list open files for process 888 and filter for ruby,lsof -p 888 | rg ruby
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Noob,why is my program crashing? show me what files it thinks it has open.,lsof -p 1234 | rg node
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,ChatGPT-style,please run the command to check what files process 5678 has open and specifically look for python.,lsof -p 5678 | rg python
T1xT1,lsof+rg,lsof -p PID | rg pattern,lsof -p 1234 | rg node,list open files for a specific process ID and filter the results for a specific pattern,True,Broken English,process 999 open files grep docker,lsof -p 999 | rg docker
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Lazy,lsof tail chrome,lsof -p 6789 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Power,list open files for pid and view last lines,lsof -p 402 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Direct,show which files are open for process 402 and view the last 5 lines,lsof -p 402 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Noob,how can i see what files my terminal is accessing and just look at the latest ones?,lsof -p 1234 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,ChatGPT-style,what is the command to find out which files are being accessed by a specific process id and show the most recent lines?,lsof -p 6789 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Broken English,open files pid tail last lines,lsof -p 402 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Lazy,lsof tail node,lsof -p 5555 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Power,pipe open files for process to tail to see recent activity,lsof -p 5555 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Direct,list files open for process 5555 and show the last few entries,lsof -p 5555 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Noob,im trying to see what files are being used by a specific program but only want to see the newest stuff at the bottom,lsof -p 1234 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,ChatGPT-style,please give me a command to list files opened by a certain process and then filter to show the last few lines,lsof -p 6789 | tail -n 5
T1xT1,lsof+tail,lsof -p PID | tail path/to/file,lsof -p 1234 | tail -n 5,inspect the file descriptors opened by a specific process and view the most recent entries,True,Broken English,files open process tail bottom,lsof -p 402 | tail -n 5
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Lazy,lsof sed chrome,lsof -p 1234 | sed 's/apple/mango/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Power,inspect open files for process 9876 and pipe to text replace,lsof -p 9876 | sed 's/apple/mango/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Direct,find which files are open for process 555 and replace 'banana' with 'kiwi',lsof -p 555 | sed 's/banana/kiwi/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Noob,"hey, can you tell me what files a specific app has open and change the word 'dog' to 'cat' in the list?",lsof -p 111 | sed 's/dog/cat/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,ChatGPT-style,what is the easiest way to see what files a process is using and then swap the word 'carrot' for 'pea' in the output?,lsof -p 222 | sed 's/carrot/pea/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Broken English,list files open for pid 333 and swap 'mouse' 'keyboard',lsof -p 333 | sed 's/mouse/keyboard/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Lazy,lsof sed firefox,lsof -p 444 | sed 's/apple/mango/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Power,monitor process 555 open file descriptors and perform regex substitution,lsof -p 555 | sed 's/banana/kiwi/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Direct,display open files for process 666 and replace 'code' with 'script',lsof -p 666 | sed 's/code/script/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Noob,i want to check what a specific number process has open and change 'file1' to 'file2' in the text,lsof -p 777 | sed 's/file1/file2/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,ChatGPT-style,please help me look at the files a certain process has open and change the text 'data' to 'info' in the results,lsof -p 888 | sed 's/data/info/g'
T1xT1,lsof+sed,lsof -p PID | sed -i bak 's/apple/mango/g' path/to/file,lsof -p 1234 | sed 's/apple/mango/g',list files opened by a specific process and replace text occurrences in the output,True,Broken English,show process 999 open files and swap 'old' 'new',lsof -p 999 | sed 's/old/new/g'
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Lazy,lsof tree -d,lsof -p 1234 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Power,list open file paths for a process using tree,lsof -p 9999 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Direct,display the directory tree of files opened by pid 5555,lsof -p 5555 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Noob,what files is that app actually using and show me the folder structure?,lsof -p 1024 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,ChatGPT-style,can you show me the directory hierarchy of files opened by the process with pid 7777?,lsof -p 7777 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Broken English,show directory tree files open pid,lsof -p 42 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Lazy,lsof tree -d,lsof -p 1 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Power,pipe process open files to tree view,lsof -p 4242 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Direct,list files opened by process id 123 and show the directory structure,lsof -p 123 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Noob,how do i see what files that process is accessing in a folder view?,lsof -p 5000 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,ChatGPT-style,please list the open files of the process with pid 101 and format as directories,lsof -p 101 | tree -d
T1xT1,lsof+tree,lsof -p PID | tree -d,lsof -p PID | tree -d,view the directory structure of files opened by a specific process,True,Broken English,process open files tree,lsof -p 3333 | tree -d
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,Lazy,lsof 1234,lsof -p 1234
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,Power,list open files for process 1234,lsof -p 1234
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,Direct,show which files are open for process 1234,lsof -p 1234
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,Noob,how do i check what files that specific process is using?,lsof -p 1234
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,ChatGPT-style,can you list the files opened by process 1234?,lsof -p 1234
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,Broken English,what files process 1234 using,lsof -p 1234
T1xT1,lsof+xargs,lsof -p PID | arguments_source | xargs command,lsof -p 1234,list files opened by a specific process ID,True,Lazy,open files pid 5678,lsof -p 5678
