Name,English,Command
less,Open a file for interactive reading,less path/to/source_file
less,Page down/up,<Space>|<b>
less,Go to end/start of file,<G>|<g>
less,Forward search for a string (press `<n>`/`<N>` to go to next/previous match),</>pattern
less,Backward search for a string (press `<n>`/`<N>` to go to next/previous match),<?>pattern
less,Follow the output of the currently opened file,<F>
less,Open the current file in an editor,<v>
less,Exit,<q>
fd,Recursively find files matching a specific pattern in the current directory,"fd ""string|regex"""
fd,Find files that begin with a specific string,"fd ""^string"""
fd,Find files with a specific extension,fd [-e|--extension] txt
fd,Find files in a specific directory,"fd ""string|regex"" path/to/directory"
fd,Include ignored and hidden files in the search,"fd [-H|--hidden] [-I|--no-ignore] ""string|regex"""
fd,Exclude files that match a specific glob pattern,fd string [-E|--exclude] glob
fd,Execute a command on each search result returned,"fd ""string|regex"" [-x|--exec] command"
fd,Find files only in the current directory,"fd [-d|--max-depth] 1 ""string|regex"""
ifconfig,View network settings of an interface,ifconfig interface_name
ifconfig,"Display details of all interfaces, including disabled interfaces",ifconfig -a
ifconfig,Disable an interface,ifconfig interface_name down
ifconfig,Enable an interface,ifconfig interface_name up
ifconfig,Assign an IP address to an interface,ifconfig interface_name ip_address
ssh,Connect to a remote server,ssh username@remote_host
ssh,Connect to a remote server with a specific [i]dentity (private key),ssh -i path/to/key_file username@remote_host
ssh,Connect to a remote server with IP `10.0.0.1` and using a specific [p]ort (Note: `10.0.0.1` can be shortened to `10.1`),ssh username@10.0.0.1 -p 2222
ssh,Run a command on a remote server with a [t]ty allocation allowing interaction with the remote command,ssh username@remote_host -t command command_arguments
ssh,SSH tunneling: [D]ynamic port forwarding (SOCKS proxy on `localhost:1080`),ssh -D 1080 username@remote_host
ssh,SSH tunneling: Forward a specific port (`localhost:9999` to `example.org:80`) along with disabling pseudo-[T]ty allocation and executio[N] of remote commands,ssh -L 9999:example.org:80 -N -T username@remote_host
ssh,SSH [J]umping: Connect through a jumphost to a remote server (Multiple jump hops may be specified separated by comma characters),ssh -J username@jump_host username@remote_host
ssh,Close a hanged session,<Enter><~><.>
curl,Make an HTTP GET request and dump the contents in `stdout`,curl https://example.com
curl,"Make an HTTP GET request, follow any `3xx` redirects, and dump the reply headers and contents to `stdout`",curl [-L|--location] [-D|--dump-header] - https://example.com
curl,"Download a file, saving the output under the filename indicated by the URL",curl [-O|--remote-name] https://example.com/filename.zip
curl,Send form-encoded data (POST request of type `application/x-www-form-urlencoded`). Use `--data @file_name` or `--data @'-'` to read from `stdin`,curl [-X|--request] POST [-d|--data] 'name=bob' http://example.com/form
curl,"Send a request with an extra header, using a custom HTTP method and over a proxy (such as BurpSuite), ignoring insecure self-signed certificates",curl [-k|--insecure] [-x|--proxy] http://127.0.0.1:8080 [-H|--header] 'Authorization: Bearer token' [-X|--request] GET|PUT|POST|DELETE|PATCH|... https://example.com
curl,"Send data in JSON format, specifying the appropriate Content-Type header","curl [-d|--data] '{""name"":""bob""}' [-H|--header] 'Content-Type: application/json' http://example.com/users/1234"
curl,"Pass client certificate and private key for the request, skipping certificate validation",curl [-E|--cert] client.pem --key key.pem [-k|--insecure] https://example.com
curl,"Resolve a hostname to a custom IP address, with verbose output (similar to editing the `/etc/hosts` file for custom DNS resolution)",curl [-v|--verbose] --resolve example.com:80:127.0.0.1 http://example.com
alias,List all aliases,alias
alias,Create a generic alias,"alias word=""command"""
alias,View the command associated to a given alias,alias word
alias,Remove an aliased command,unalias word
alias,Turn `rm` into an interactive command,"alias rm=""rm --interactive"""
alias,Create `la` as a shortcut for `ls --all`,"alias la=""ls --all"""
clear,Clear the screen,clear
clear,Clear the screen but keep the terminal's scrollback buffer (equivalent to pressing `<Ctrl l>` in Bash),clear -x
clear,Indicate the type of terminal to clean (defaults to the value of the environment variable `$TERM`),clear -T type_of_terminal
clear,Display the version of `ncurses` used by `clear`,clear -V
chmod,Give the [u]ser who owns a file the right to e[x]ecute it,chmod u+x path/to/file
chmod,Give the [u]ser rights to [r]ead and [w]rite to a file/directory,chmod u+rw path/to/file_or_directory
chmod,Remove e[x]ecutable rights from the [g]roup,chmod g-x path/to/file
chmod,Give [a]ll users rights to [r]ead and e[x]ecute,chmod a+rx path/to/file
chmod,Give [o]thers (not in the file owner's group) the same rights as the [g]roup,chmod o=g path/to/file
chmod,Remove all rights from [o]thers,chmod o= path/to/file
chmod,Change permissions recursively giving [g]roup and [o]thers the ability to [w]rite,"chmod [-R|--recursive] g+w,o+w path/to/directory"
chmod,Recursively give [a]ll users [r]ead permissions to files. Also give e[X]ecute permissions to files that have at least one execution permission and to all sub-directories,chmod [-R|--recursive] a+rX path/to/directory
gunzip,View documentation for the original command,tldr gzip
df,Display all filesystems and their disk usage (using 512-byte units),df
df,Display the filesystem containing the specified file or directory,df path/to/file_or_directory
df,Use [k]ibibyte (1024 byte) units when showing size figures,df -k
df,Display information in a portable way,df -P
wc,Count all lines in a file,wc [-l|--lines] path/to/file
wc,Count all words in a file,wc [-w|--words] path/to/file
wc,Count all bytes in a file,wc [-c|--bytes] path/to/file
wc,Count all characters in a file (taking multi-byte characters into account),wc [-m|--chars] path/to/file
wc,"Count all lines, words, and bytes from `stdin`",find . | wc
wc,Count the length of the longest line in number of characters,wc [-L|--max-line-length] path/to/file
git,Create an empty Git repository,git init
git,Clone a remote Git repository from the internet,git clone https://example.com/repo.git
git,View the status of the local repository,git status
git,Stage all changes for a commit,git add [-A|--all]
git,Commit changes to version history,git commit [-m|--message] message_text
git,Push local commits to a remote repository,git push
git,Pull any changes made to a remote,git pull
git,Reset everything the way it was in the latest commit,git reset --hard; git clean [-f|--force]
tail,Show last 10 lines in a file,tail path/to/file
tail,Show last 10 lines of multiple files,tail path/to/file1 path/to/file2 ...
tail,Show last 5 lines in file,tail [-5|--lines 5] path/to/file
tail,Print a file from a specific line number,tail [-n|--lines] +count path/to/file
tail,Print a specific count of bytes from the end of a given file,tail [-c|--bytes] count path/to/file
tail,Print the last lines of a given file and keep reading it until `<Ctrl c>`,tail [-f|--follow] path/to/file
tail,"Keep reading file until `<Ctrl c>`, even if the file is inaccessible",tail [-F|--retry --follow] path/to/file
tail,Show last `count` lines in a file and refresh every `seconds` seconds,tail [-n|--lines] count [-s|--sleep-interval] seconds [-f|--follow] path/to/file
gzip,"Compress a file, replacing it with a `gzip` archive",gzip path/to/file
gzip,"Decompress a file, replacing it with the original uncompressed version",gzip [-d|--decompress] path/to/file.gz
gzip,Display the name and reduction percentage for each file compressed,gzip [-v|--verbose] path/to/file.gz
gzip,"Compress a file, keeping the original file",gzip [-k|--keep] path/to/file
gzip,"Compress a file, specifying the output filename",gzip [-c|--stdout] path/to/file > path/to/compressed_file.gz
gzip,Decompress a `gzip` archive specifying the output filename,gzip [-cd|--stdout --decompress] path/to/file.gz > path/to/uncompressed_file
gzip,"Specify the compression level. 1 is the fastest (low compression), 9 is the slowest (high compression), 6 is the default",gzip -1..9 [-c|--stdout] path/to/file > path/to/compressed_file.gz
gzip,List the contents of a compressed file,gzip [-l|--list] path/to/file.txt.gz
tree,Print files and directories up to `num` levels of depth (where 1 means the current directory),tree -L num
tree,Print directories only,tree -d
tree,Print hidden files too with colorization on,tree -a -C
tree,"Print the tree without indentation lines, showing the full path instead (use `-N` to not escape non-printable characters)",tree -i -f
tree,"Print the size of each file and the cumulative size of each directory, in human-readable format",tree -s -h --du
tree,"Print files within the tree hierarchy, using a wildcard (glob) pattern, and pruning out directories that don't contain matching files",tree -P '*.txt' --prune
tree,"Print directories within the tree hierarchy, using the wildcard (glob) pattern, and pruning out directories that aren't ancestors of the wanted one",tree -P directory_name --matchdirs --prune
tree,Print the tree ignoring the given directories,tree -I 'directory_name1|directory_name2'
grep,Search for a pattern within files,"grep ""search_pattern"" path/to/file1 path/to/file2 ..."
grep,Search for an exact string (disables `regex`es),"grep [-F|--fixed-strings] ""exact_string"" path/to/file"
grep,"Search for a pattern in all files recursively in a directory, ignoring binary files","grep [-rI|--recursive --binary-files=without-match] ""search_pattern"" path/to/directory"
grep,"Print 3 lines of [C]ontext around, [B]efore, or [A]fter each match","grep --context|--before-context|--after-context 3 ""search_pattern"" path/to/file"
grep,Print file name and line number for each match with color output,"grep [-Hn|--with-filename --line-number] --color=always ""search_pattern"" path/to/file"
grep,Print only the matched text,"grep [-o|--only-matching] ""search_pattern"" path/to/file"
grep,Read data from `stdin` and do not print lines that match a pattern,"cat path/to/file | grep [-v|--invert-match] ""search_pattern"""
grep,"Use extended `regex`es (supports `?`, `+`, `{}`, `()`, and `|`), in case-insensitive mode","grep [-Ei|--extended-regexp --ignore-case] ""search_pattern"" path/to/file"
rmdir,Remove specific directories,rmdir path/to/directory1 path/to/directory2 ...
rmdir,Remove specific nested directories recursively,rmdir [-p|--parents] path/to/directory1 path/to/directory2 ...
rmdir,Clean a directory of empty directories,rmdir *
killall,Terminate a process using the default SIGTERM (terminate) signal,killall process_name
killall,List available signal names (to be used without the `SIG` prefix),killall [-l|--list]
killall,Interactively ask for confirmation before termination,killall [-i|--interactive] process_name
killall,"Terminate a process using the SIGINT (interrupt) signal, which is the same signal sent by pressing `<Ctrl c>`",killall -INT process_name
killall,Force kill a process,killall -KILL process_name
arch,View documentation for the original command,tldr uname
rm,Remove specific files,rm path/to/file1 path/to/file2 ...
rm,Remove specific files ignoring nonexistent ones,rm [-f|--force] path/to/file1 path/to/file2 ...
rm,Remove specific files interactively prompting before each removal,rm [-i|--interactive] path/to/file1 path/to/file2 ...
rm,Remove specific files printing info about each removal,rm [-v|--verbose] path/to/file1 path/to/file2 ...
rm,Remove specific files and directories recursively,rm [-r|--recursive] path/to/file_or_directory1 path/to/file_or_directory2 ...
rm,Remove empty directories (this is considered the safe method),rm [-d|--dir] path/to/directory
du,"List the sizes of a directory and any subdirectories, in the given unit (B/KiB/MiB)",du -b|k|m path/to/directory
du,"List the sizes of a directory and any subdirectories, in human-readable form (i.e. auto-selecting the appropriate unit for each size)",du [-h|--human-readable] path/to/directory
du,"Show the size of a single directory, in human-readable units",du [-sh|--summarize --human-readable] path/to/directory
du,List the human-readable sizes of a directory and of all the files and directories within it,du [-ah|--all --human-readable] path/to/directory
du,"List the human-readable sizes of a directory and any subdirectories, up to `n` levels deep",du [-h|--human-readable] [-d|--max-depth] n path/to/directory
du,"List the human-readable size of all `.jpg` files in current directory, and show a cumulative total at the end",du [-ch|--total --human-readable] *.jpg
du,List all files and directories (including hidden ones) above a certain threshold size (useful for investigating what is actually taking up the space),du [-ah|--all --human-readable] [-t|--threshold] 1G|1024M|1048576K .[^.]* *
awk,Print the fifth column (a.k.a. field) in a space-separated file,awk '{print $5}' path/to/file
awk,"Print the second column of the lines containing ""foo"" in a space-separated file",awk '/foo/ {print $2}' path/to/file
awk,"Print the last column of each line in a file, using a comma (instead of space) as a field separator","awk -F ',' '{print $NF}' path/to/file"
awk,Sum the values in the first column of a file and print the total,awk '{s+=$1} END {print s}' path/to/file
awk,Print every third line starting from the first line,awk 'NR%3==1' path/to/file
awk,Print different values based on conditions,"awk '{if ($1 == ""foo"") print ""Exact match foo""; else if ($1 ~ ""bar"") print ""Partial match bar""; else print ""Baz""}' path/to/file"
awk,Print all the lines which the 10th column value is between a min and a max,awk '($10 >= min_value && $10 <= max_value)' path/to/file
awk,"Print table of users with UID >=1000 with header and formatted output, using colon as separator (`%-20s` mean: 20 left-align string characters, `%6s` means: 6 right-align string characters)","awk 'BEGIN {FS="":"";printf ""%-20s %6s %25s\n"", ""Name"", ""UID"", ""Shell""} $4 >= 1000 {printf ""%-20s %6d %25s\n"", $1, $4, $7}' /etc/passwd"
bat,Pretty print the contents of one or more files to `stdout`,bat path/to/file1 path/to/file2 ...
bat,Concatenate several files into the target file,bat path/to/file1 path/to/file2 ... > path/to/target_file
bat,"Remove decorations and disable paging (`--style plain` can be replaced with `-p`, or both options with `-pp`)",bat --style plain --pager never path/to/file
bat,Highlight a specific line or a range of lines with a different background color,bat [-H|--highlight-line] 10|5:10|:10|10:|10:+5 path/to/file
bat,"Show non-printable characters like space, tab, or newline",bat [-A|--show-all] path/to/file
bat,Remove all decorations except line numbers in the output,bat [-n|--number] path/to/file
bat,Syntax highlight a JSON file by explicitly setting the language,bat [-l|--language] json path/to/file.json
bat,Display all supported languages,bat [-L|--list-languages]
ls,List files one per line,ls -1
ls,"List all files, including hidden files",ls [-a|--all]
ls,"List files with a trailing symbol to indicate file type (directory/, symbolic_link@, executable*, ...)",ls [-F|--classify]
ls,"List all files in [l]ong format (permissions, ownership, size, and modification date)",ls [-la|-l --all]
ls,"List files in [l]ong format with size displayed using human-readable units (KiB, MiB, GiB)",ls [-lh|-l --human-readable]
ls,"List files in [l]ong format, sorted by [S]ize (descending) recursively",ls [-lSR|-lS --recursive]
ls,"List files in [l]ong format, sorted by [t]ime the file was modified and in reverse order (oldest first)",ls [-ltr|-lt --reverse]
ls,Only list directories,ls [-d|--directory] */
cp,Copy a file to another location,cp path/to/source_file path/to/target_file
cp,"Copy a file into another directory, keeping the filename",cp path/to/source_file path/to/target_parent_directory
cp,"Recursively copy a directory's contents to another location (if the destination exists, the directory is copied inside it)",cp [-r|--recursive] path/to/source_directory path/to/target_directory
cp,"Copy a directory recursively, in verbose mode (shows files as they are copied)",cp [-vr|--verbose --recursive] path/to/source_directory path/to/target_directory
cp,Copy multiple files at once to a directory,cp [-t|--target-directory] path/to/destination_directory path/to/file1 path/to/file2 ...
cp,"Copy all files with a specific extension to another location, in interactive mode (prompts user before overwriting)",cp [-i|--interactive] *.ext path/to/target_directory
cp,Follow symbolic links before copying,cp [-L|--dereference] link path/to/target_directory
cp,"Use the full path of source files, creating any missing intermediate directories when copying",cp --parents source/path/to/file path/to/target_file
sort,Sort a file in ascending order,sort path/to/file
sort,Sort a file in descending order,sort [-r|--reverse] path/to/file
sort,Sort a file in case-insensitive way,sort [-f|--ignore-case] path/to/file
sort,Sort a file using numeric rather than alphabetic order,sort [-n|--numeric-sort] path/to/file
sort,"Sort `/etc/passwd` by the 3rd field onward of each line numerically, using `:` as a field separator",sort [-t|--field-separator] : [-k|--key] 3n /etc/passwd
sort,"As above, but when items in the 3rd field are equal, sort by the 4th field by numbers with exponents","sort [-t|--field-separator] : [-k|--key] 3,3n [-k|--key] 4,4g /etc/passwd"
sort,Sort a file preserving only unique lines,sort [-u|--unique] path/to/file
sort,"Sort a file, printing the output to the specified output file (can be used to sort a file in-place)",sort [-o|--output] path/to/output_file path/to/input_file
man,Display the man page for a command,man command
man,Open the man page for a command in a browser (`=browser_name` can be omitted if `$BROWSER` is set),man [-H|--html=]browser_name command
man,Display the man page for a command from section 7,man 7 command
man,List all available sections for a command,man [-f|--whatis] command
man,Display the path searched for manpages,man [-w|--path]
man,Display the location of a manpage rather than the manpage itself,man [-w|--where] command
man,Display the man page using a specific locale,man [-L|--locale] locale command
man,Search for manpages containing a search string,"man [-k|--apropos] ""search_string"""
cat,Print the contents of a file to `stdout`,cat path/to/file
cat,Concatenate several files into an output file,cat path/to/file1 path/to/file2 ... > path/to/output_file
cat,Append several files to an output file,cat path/to/file1 path/to/file2 ... >> path/to/output_file
cat,Copy the contents of a file into an output file without buffering,cat -u /dev/tty12 > /dev/tty13
cat,Write `stdin` to a file,cat - > path/to/file
tar,[c]reate an archive and write it to a [f]ile,tar cf path/to/target.tar path/to/file1 path/to/file2 ...
tar,[c]reate a g[z]ipped archive and write it to a [f]ile,tar czf path/to/target.tar.gz path/to/file1 path/to/file2 ...
tar,[c]reate a g[z]ipped (compressed) archive from a directory using relative paths,tar czf path/to/target.tar.gz [-C|--directory] path/to/directory .
tar,E[x]tract a (compressed) archive [f]ile into the current directory [v]erbosely,tar xvf path/to/source.tar[.gz|.bz2|.xz]
tar,E[x]tract a (compressed) archive [f]ile into the target directory,tar xf path/to/source.tar[.gz|.bz2|.xz] [-C|--directory] path/to/directory
tar,"[c]reate a compressed archive and write it to a [f]ile, using the file extension to [a]utomatically determine the compression program",tar caf path/to/target.tar.xz path/to/file1 path/to/file2 ...
tar,Lis[t] the contents of a tar [f]ile [v]erbosely,tar tvf path/to/source.tar
tar,E[x]tract files matching a pattern from an archive [f]ile,"tar xf path/to/source.tar --wildcards ""*.html"""
dirname,Calculate the parent directory of a given path,dirname path/to/file_or_directory
dirname,Calculate the parent directory of multiple paths,dirname path/to/file_or_directory1 path/to/file_or_directory2 ...
dirname,Delimit output with a NUL character instead of a newline (useful when combining with `xargs`),dirname [-z|--zero] path/to/file_or_directory1 path/to/file_or_directory2 ...
sudo,Run a command as the superuser,sudo less /var/log/syslog
sudo,Edit a file as the superuser with your default editor,sudo [-e|--edit] /etc/fstab
sudo,Run a command as another user and/or group,sudo [-u|--user] user [-g|--group] group id -a
sudo,"Repeat the last command prefixed with `sudo` (only in Bash, Zsh, etc.)",sudo !!
sudo,"Launch the default shell with superuser privileges and run login-specific files (`.profile`, `.bash_profile`, etc.)",sudo [-i|--login]
sudo,Launch the default shell with superuser privileges without changing the environment,sudo [-s|--shell]
sudo,"Launch the default shell as the specified user, loading the user's environment and reading login-specific files (`.profile`, `.bash_profile`, etc.)",sudo [-i|--login] [-u|--user] user
sudo,List the allowed (and forbidden) commands for the invoking user,sudo [-ll|--list --list]
unzip,Extract all files/directories from specific archives into the current directory,unzip path/to/archive1.zip path/to/archive2.zip ...
unzip,Extract files/directories from archives to a specific path,unzip path/to/archive1.zip path/to/archive2.zip ... -d path/to/output
unzip,Extract files/directories from archives to `stdout` alongside the extracted file names,unzip -c path/to/archive1.zip path/to/archive2.zip ...
unzip,"Extract an archive created on Windows, containing files with non-ASCII (e.g. Chinese or Japanese characters) filenames",unzip -O gbk path/to/archive1.zip path/to/archive2.zip ...
unzip,List the contents of a specific archive without extracting them,unzip -l path/to/archive.zip
unzip,Extract specific files from an archive,unzip -j path/to/archive.zip path/to/file1_in_archive path/to/file2_in_archive ...
sed,Replace all `apple` (basic `regex`) occurrences with `mango` (basic `regex`) in all input lines and print the result to `stdout`,command | sed 's/apple/mango/g'
sed,Execute a specific script [f]ile and print the result to `stdout`,command | sed -f path/to/script.sed
sed,Print just a first line to `stdout`,command | sed -n '1p'
pgrep,Return PIDs of any running processes with a matching command string,pgrep process_name
pgrep,Search for processes including their command-line options,"pgrep [-f|--full] ""process_name parameter"""
pgrep,Search for processes run by a specific user,pgrep [-u|--euid] username process_name
chown,Change the owner user of a file/directory,sudo chown user path/to/file_or_directory
chown,Change the owner user and group of a file/directory,sudo chown user:group path/to/file_or_directory
chown,Change the owner user and group to both have the name `user`,sudo chown user: path/to/file_or_directory
chown,Change the group of a file to a group that the current user belongs to,chown :group path/to/file_or_directory
chown,Recursively change the owner of a directory and its contents,sudo chown [-R|--recursive] user path/to/directory
chown,Change the owner of a symbolic link,sudo chown [-h|--no-dereference] user path/to/symlink
chown,Change the owner of a file/directory to match a reference file,sudo chown --reference path/to/reference_file path/to/file_or_directory
ln,Create a symbolic link to a file or directory,ln [-s|--symbolic] /path/to/file_or_directory path/to/symlink
ln,Create a symbolic link relative to where the link is located,ln [-s|--symbolic] path/to/file_or_directory path/to/symlink
ln,Overwrite an existing symbolic link to point to a different file,ln [-sf|--symbolic --force] /path/to/new_file path/to/symlink
ln,Create a hard link to a file,ln /path/to/file path/to/hardlink
htop,Start `htop`,htop
htop,Start `htop` displaying processes owned by a specific user,htop [-u|--user] username
htop,Display processes hierarchically in a tree view to show the parent-child relationships,htop [-t|--tree]
htop,Sort processes by a specified `sort_item` (use `htop --sort help` for available options),htop [-s|--sort] sort_item
htop,"Start `htop` with the specified delay between updates, in tenths of a second (i.e. 50 = 5 seconds)",htop [-d|--delay] 50
htop,Disable all system and process changing features,htop --readonly
htop,See interactive commands while running `htop`,<F1>|<?>
htop,Switch to a different tab,<Tab>
cut,Print the fifth character on each line,command | cut [-c|--characters] 5
cut,Print the fifth to tenth character of each line of the specified file,cut [-c|--characters] 5-10 path/to/file
cut,Split each line in a file by a delimiter into fields and print fields two and six (default delimiter is `TAB`),"cut [-f|--fields] 2,6 path/to/file"
cut,Split each line by the specified delimiter and print all from the second field onward,"command | cut [-d|--delimiter] ""delimiter"" [-f|--fields] 2-"
cut,Use space as a delimiter and print only the first 3 fields,"command | cut [-d|--delimiter] "" "" [-f|--fields] -3"
cut,Only print lines that contain the delimiter,"command | cut [-d|--delimiter] "":"" [-f|--fields] 1 [-s|--only-delimited]"
cut,Print specific fields of lines that use `NUL` to terminate lines instead of newlines,"find . -print0 | cut [-z|--zero-terminated] [-d|--delimiter] ""/"" [-f|--fields] 2"
mv,Rename a file or directory when the target is not an existing directory,mv path/to/source path/to/target
mv,Move a file or directory into an existing directory,mv path/to/source path/to/existing_directory
mv,"Move multiple files into an existing directory, keeping the filenames unchanged",mv path/to/source1 path/to/source2 ... path/to/existing_directory
mv,Do not prompt for confirmation before overwriting existing files,mv [-f|--force] path/to/source path/to/target
mv,"Prompt for confirmation interactively before overwriting existing files, regardless of file permissions",mv [-i|--interactive] path/to/source path/to/target
mv,Do not overwrite existing files at the target,mv [-n|--no-clobber] path/to/source path/to/target
mv,"Move files in verbose mode, showing files after they are moved",mv [-v|--verbose] path/to/source path/to/target
mv,Specify target directory so that you can use external tools to gather movable files,find /var/log -type f -name '*.log' -print0 | xargs -0 mv [-t|--target-directory] path/to/target_directory
vi,View documentation for the original command,tldr vim
lsof,Find the processes that have a given file open,lsof path/to/file
lsof,Find the process that opened a local internet port,lsof -i :port
lsof,Only output the process ID (PID),lsof -t path/to/file
lsof,List files opened by the given user,lsof -u username
lsof,List files opened by the given command or process,lsof -c process_or_command_name
lsof,"List files opened by a specific process, given its PID",lsof -p PID
lsof,List open files in a directory,lsof +D path/to/directory
lsof,Find the process that is listening on a local IPv6 TCP port and don't convert network or port numbers,lsof -i6TCP:port -sTCP:LISTEN -n -P
crontab,[e]dit the crontab file for the current user,crontab -e
crontab,[e]dit the crontab file for a specific [u]ser,sudo crontab -e -u user
crontab,Replace the current crontab with the contents of the given file,crontab path/to/file
crontab,[l]ist existing cron jobs for the current user,crontab -l
crontab,[r]emove all cron jobs for the current user,crontab -r
crontab,Sample cron job which runs at 10:00 every day (* means any value),0 10 * * * command_to_execute
crontab,Sample cron job which runs a command every 10 minutes,*/10 * * * * command_to_execute
crontab,Sample cron job which runs a certain script at 02:30 every Friday,30 2 * * Fri /path/to/script.sh
